OBJECTID,Drainage Basin ID,Basin Name,Data Path,Facility ID,Area_AC,Area (Sq. Mi.),SDMP Study Year,GLOBALID,Shape__Area,Shape__Length
1,5401-01,Greenwood Gulch,,884620SCSB,112,0.17,2019,36d1529f-5430-4339-a776-70adcf8b6ea4,4877167.16455078,11766.4500463998
2,4600-04,Cherry Creek Reservoir,,884621SCSB,3674.9,5.74,2019,d82384e6-686c-4f8a-908e-22d6ec8ddc39,160078395.083496,68162.8398012715
3,4601-01,Lower Goldsmith Gulch,,884622SCSB,2583.8,4.04,2019,ac46527f-65b6-41cc-bb13-eebb6cf90e96,112547719.108887,71431.1832210259
4,4601-02,Middle Goldsmith Gulch,,884623SCSB,855.5,1.34,2019,3e0d1fda-f5b2-4915-b384-564f7975f4a2,37266860.722168,32225.3575221825
5,4600-03,Upper Cherry Creek,,884624SCSB,3585.2,5.6,2019,542a17c6-5ae2-4f2e-8fa3-25e935caa4be,156171896.15332,68857.0149588877
6,4600-02,Cherry Creek Mall,,884625SCSB,2927.8,4.57,2019,ffa6aa33-701c-49de-8ffd-4c8f8aa8be5a,127533662.742188,62926.6911423905
7,4500-01,City Park,,884626SCSB,2727.8,4.26,2014,3a4db1b1-07be-42f2-a1dd-06cb55c04fae,118821051.574219,72268.7578427461
8,4500-03,Park Hill - Colfax,,884627SCSB,973.7,1.52,2014,a8de9464-ad98-4825-af2f-34305dd35e9d,42413291.5424805,38629.3213927479
9,4500-04,Park Hill - 6th Avenue,,884628SCSB,2337.6,3.65,2014,ad95f857-f8de-4947-96fb-d7a2b98edb04,101824931.193359,63951.1565400854
10,5100-01,Sanderson Gulch,,884629SCSB,3560.9,5.56,2019,03101883-8655-461f-a488-db189fff2d34,155110027.646484,65481.750094711
11,5300-01,West Harvard Gulch,,884630SCSB,924.3,1.44,2019,acfeb33b-502e-4df9-86a5-109cdf5591a2,40261704.8134766,35230.9861770858
12,5500-05,Pinehurst Tributary,,884631SCSB,451.4,0.71,2014,bb54bbe2-0914-49f0-9125-91a32e56b330,19664100.5458984,24992.2795152387
13,4700-01,Sloans Lake,,884632SCSB,1012.8,1.58,2019,2fedd086-665d-4d66-8ae8-5673cc36f147,44116409.6518555,40824.4286905405
14,4800-01,Lakewood Gulch,,884633SCSB,756,1.18,2019,1744645f-d779-4e08-8a3c-4ea6de3c69bc,32933285.065918,48887.7804656031
15,4801-01,Dry Gulch,,884634SCSB,248.7,0.39,2019,4aa03f51-bce9-4e9f-933f-04150f1ac8c4,10832138.6137695,16707.2350192076
16,4900-01,Weir Gulch,,884635SCSB,1523.2,2.38,2019,9ece22c1-2871-4c11-9f25-f9b828b8e529,66351357.9521484,52059.8496571431
17,4300-03,Clear Creek - North of I-70,,884636SCSB,1146.9,1.79,2019,5d87872a-162d-4a50-b19a-111613464bfb,49960744.1152344,39199.7571925234
18,5500-01,Bear Creek - Fort Logan,,884637SCSB,1991.7,3.11,2019,36ebd9ae-2e2e-4a3f-bbd3-deb733649859,86758037.1025391,60593.2447921412
19,5500-03,Academy Park,,884638SCSB,382.2,0.6,2014,69c8c5c9-70d7-475c-b8d4-99d4af26b3b8,16647627.0185547,22832.2565033802
20,5500-04,Bear Creek - Marston Lake North,,884639SCSB,1428.3,2.23,2014,b34e20de-90c6-4e1e-9a75-c88912a14f6c,62214467.0332031,72328.663713664
21,5500-02,Upper Bear Creek,,884640SCSB,1190.8,1.86,2019,24d83b17-597d-4ab6-a60d-4167a530386a,51869890.484375,45024.1693264985
22,5901-01,Coon Creek,,884641SCSB,1981,3.1,2014,f809a916-a776-4ae1-b0ad-d35816d9d9d5,86292064.6196289,62285.9601262706
23,5501-01,Henry's Lake,,884642SCSB,867.5,1.36,2014,2418057a-0473-4ef1-bb07-e01574898d41,37788925.2915039,42036.6694217737
24,0061-01,27th & Federal,,884643SCSB,1428.4,2.23,2019,41df7734-f72b-4654-a01c-7a04744377d9,62219978.7558594,42083.2366987626
25,0065-01,Ruby Hill,,884644SCSB,801.7,1.25,2019,e15806b5-2c4e-4928-8780-4734cdea0574,34920145.4580078,29298.3596901255
26,4309-01,Berkeley Lake,,884645SCSB,1165.6,1.82,2014,df5a4248-a7f4-4f6a-8852-7f636ffa0623,50773382.1669922,41196.3111579372
27,0067-03,Marston Lake,,884646SCSB,676.9,1.06,2019,f91a336c-aa8a-4947-84d4-7544d664f4c4,29486995.6948242,25428.4201665825
28,0064-01,1st & Federal,,884647SCSB,279.5,0.44,2019,7a5494bf-a707-4889-a3ee-11793614c906,12174304.9770508,17805.3656726329
29,0064-02,Valverde,,884648SCSB,1694.1,2.65,2019,0188b763-d944-4230-89e0-3e4728a833c4,73792940.40625,52107.1207896913
30,0065-02,Dartmouth,,884649SCSB,483.6,0.76,2019,fa411108-31db-49a3-9925-a5fe9332720c,21066468.8618164,22084.9667443777
31,0067-01,College View,,884650SCSB,826.1,1.29,2019,7f20658f-504f-4a9c-a88f-b8c3f7d8019d,35984938.4106445,38662.9765643031
32,0067-02,West Belleview,,884651SCSB,2695.3,4.21,2019,6069b545-b028-4f71-ac04-b8ec5837dfe2,117408692.099609,54132.1593060033
33,0058-01,Prairie Gateway,,884652SCSB,1011.3,1.58,2014,7f03bf89-275a-47c9-8218-aebbdee1c455,44052754.7197266,30823.072845741
34,4401-03,Westerly Creek - Lowry,,884653SCSB,2546.6,3.98,2014,5a207849-6845-4d20-b797-7d2277333ec3,110928623.297363,56378.2811444709
35,3501-01,West Fork Second Creek,,884654SCSB,2207,3.45,2014,a6b665ff-f617-49ce-92d7-e80262a90a37,96135229.0478516,50456.4822975445
36,3700-02,First Creek - Green Valley Ranch,,884655SCSB,1356.7,2.12,2014,b2b520a1-eabe-4b0a-9caf-a2cc306878a4,59097008.7753906,45269.6049631563
37,3700-03,First Creek - Dogwood & Blue Grama Tribs.,,884656SCSB,1671.7,2.61,2014,13c69f3a-996f-4f12-8cd9-e74dc1b84df0,72818539.2285156,51820.5590084796
38,3702-01,First Creek - Tributary T,,884657SCSB,579.5,0.91,2014,d0cc0d2a-7705-4e0d-a503-785b723debcb,25244027.4790039,22084.1674612842
39,3900-04,Irondale Gulch - Majestic Commercenter,,884658SCSB,1181.1,1.85,2014,9146cc95-7a7a-4ea5-a4b3-ed769cf4c9f4,51450224.4448242,63929.8203280829
40,3900-03,Irondale Gulch - Parkfield,,884659SCSB,1873.2,2.93,2014,ff9b5c3b-fefe-4606-924b-267b22a9b593,81596817.2460938,52235.5763807166
41,3901-01,Irondale Gulch - West Montbello,,884660SCSB,2095.9,3.27,2014,7e72152b-7875-476a-823a-c68bc746b421,91296084.3686523,47547.500296031
42,3901-02,Iorndale Gulch - Gateway,,884661SCSB,621,0.97,2014,191c6e29-ccc2-4ecc-84e9-4c12b29221ba,27051153.7700195,29699.5917535543
43,4000-01,Stapleton West Section 10,,884662SCSB,475.7,0.74,2014,33232284-cfba-4ccf-8305-4aa5e5b1475e,20723102.5996094,20386.1895142098
44,4400-01,North Stapleton,,884663SCSB,2467.7,3.86,2014,0d55fe15-f310-4f10-a67a-48776ad8522b,107493120.660156,48742.9556616954
45,4400-03,Stapleton,,884664SCSB,966.8,1.51,2014,68ba1900-8dcf-4050-9190-e47ba5ac09c2,42112764.8588867,33376.7739278646
46,4400-04,East Stapleton,,884665SCSB,1218.8,1.9,2019,a670f210-7388-47c2-b7c1-c44939cc6e1c,53090189.3886719,39187.0283927344
47,4401-01,Westerly Creek - South Stapleton,,884666SCSB,1923.5,3.01,2014,5b215570-4d80-49a2-a292-0f74ac6d6435,83786899.6743164,60709.3624577058
48,4401-04,Westerly Creek - South of Alameda,,884667SCSB,1822.1,2.85,2014,5e50efaa-5707-4974-9f67-036a88e05d35,79371931.2475586,48679.9930142211
49,3700-01,First Creek & Pena Corridor,,884668SCSB,1426.8,2.23,2014,57c0f09a-8e28-4088-94d5-da7dd0c995b4,62153092.5200195,51789.911050576
50,3900-01,Irondale Gulch - Stapleton,,884669SCSB,139.8,0.22,2014,92a9a87a-7b0d-448c-bdc3-d36e1f87cc2e,6089038.14990234,13967.6029512804
51,3900-02,Irondale Gulch - East Montbello,,884670SCSB,1220.6,1.91,2014,2819b4e0-d327-491a-a9a9-7373a2ab04c3,53169696.3212891,34534.5627097987
52,4401-02,Westerly Creek - 11th Avenue to Montview,,884671SCSB,677.6,1.06,2019,661b77da-a263-4ab9-9eba-b857616112bd,29517089.7753906,22830.2988493439
53,5000-03,University & Mexico South,,884672SCSB,1464.4,2.29,2019,6a612ec3-cfc7-4056-91fb-26a5438ec2ab,63790610.3984375,54858.0153619953
54,5200-01,Harvard Gulch Lower Basin,,884673SCSB,544.2,0.85,2019,d178b2f7-db7a-4c85-9f10-77ad6a948764,23705275.4609375,31456.4600925265
55,5200-02,Harvard Gulch Middle Basin,,884674SCSB,1757,2.75,2019,8dfe6893-681e-4242-ab3b-021fc76f6b15,76535826.1450195,50629.8456725611
56,5200-03,Harvard Gulch Upper Basin,,884675SCSB,2456.2,3.84,2019,6bb01398-3d24-405b-bc2a-4acceb8c050b,106992689.980957,55874.9065804517
57,5000-01,West Washington Park,,884676SCSB,787.6,1.23,2019,e907d68f-e016-49e8-a4b2-2d74f913c84a,34307969.0141602,36851.4058101176
58,5000-02,University & Mexico North,,884677SCSB,1797.9,2.81,2019,fee6e81e-1c0f-4ddb-b022-518cb309d1e2,78317464.8496094,59595.4258811904
59,0061-02,Highland,,884678SCSB,1479.1,2.31,2019,48ecf359-7b46-4800-8212-0ed225a8340b,64427890.5424805,54693.8727559108
60,4600-01,Central Business District,,884679SCSB,1426.9,2.23,2019,28a40e8e-501f-4382-b4ae-887b456fa922,62154890.7797852,44961.0586464284
61,0063-01,Central Platte Valley,,884680SCSB,1297,2.03,2019,da86b3e6-da70-4068-bada-8fb037f23a2e,56496833.2021484,54608.5676898093
62,0060-01,I-70 & Colorado Boulevard,,884681SCSB,1370.6,2.14,2014,5dca3d45-ca31-4948-88a5-5ef202dd05c8,59704481.4677734,51985.5328339146
63,0060-02,I-70 & York,,884682SCSB,934.1,1.46,2014,800f83fb-6612-4a9c-94fc-9a830e33c986,40688183.6455078,49285.2038979462
64,4400-02,Quebec Corridor,,884683SCSB,2822.3,4.41,2019,7e551677-2810-48ed-9f88-d20cbf9c4a1d,122939482.220215,75469.9978923055
65,0062-01,Lower Platte Valley,,884684SCSB,1744.4,2.73,2019,d26728e8-1e3f-4eac-88b0-d02954e81546,75983882.0209961,56785.1553352435
66,4500-02,36th & Downing,,884685SCSB,1111.5,1.74,2019,6286b30d-451b-45b2-8657-4b2e39943179,48418270.234375,45372.8091322938
67,0059-01,Globeville - Utah Junction,,884686SCSB,3020.9,4.72,2014,bc9808ca-02f7-47bb-ac7e-047be723a10f,131587863.335938,62652.8486494803
